43.79761, -79.12103, 
43.79764, -79.12107, 
43.79766, -79.12111, 
43.79769, -79.12115, 
43.79785, -79.12145, 
43.79789, -79.12146, 
43.79792, -79.12147, 
43.79794, -79.12150, 
43.79797, -79.12154, 
43.79800, -79.12155, 
43.79802, -79.12152, 
43.79804, -79.12148, 
43.79806, -79.12145, 
43.79810, -79.12140, 
43.79811, -79.12138, 
43.79814, -79.12133, 
43.79815, -79.12128, 
43.79816, -79.12124, 
43.79816, -79.12118, 
43.79818, -79.12113, 
43.79818, -79.12107, 
43.79819, -79.12101, 
43.79819, -79.12097, 
43.79820, -79.12090, 
43.79820, -79.12086, 
43.79819, -79.12082, 
43.79817, -79.12077, 
43.79816, -79.12072, 
43.79814, -79.12066, 
43.79813, -79.12060, 
43.79811, -79.12056, 
43.79810, -79.12053, 
43.79807, -79.12048, 
43.79806, -79.12044, 
43.79805, -79.12043, 
43.79801, -79.12036, 
43.79799, -79.12032, 
43.79797, -79.12026, 
43.79795, -79.12019, 
43.79794, -79.12018, 
43.79768, -79.11986, 
43.79765, -79.11983, 
43.79761, -79.11979, 
43.79759, -79.11977, 
43.79755, -79.11973, 
43.79753, -79.11971, 
43.79750, -79.11969, 
43.79745, -79.11966, 
43.79743, -79.11965, 
43.79739, -79.11963, 
43.79734, -79.11961, 
43.79730, -79.11959, 
43.79728, -79.11957, 
43.79725, -79.11955, 
43.79721, -79.11952, 
43.79716, -79.11949, 
43.79713, -79.11948, 
43.79709, -79.11946, 
43.79705, -79.11945, 
43.79702, -79.11944, 
43.79699, -79.11943, 
43.79694, -79.11941, 
43.79691, -79.11940, 
43.79689, -79.11940, 
43.79684, -79.11939, 
43.79681, -79.11938, 
43.79678, -79.11938, 
43.79674, -79.11938, 
43.79673, -79.11938, 
43.79662, -79.11932, 
43.79659, -79.11930, 
43.79656, -79.11927, 
43.79653, -79.11924, 
43.79650, -79.11922, 
43.79645, -79.11920, 
43.79640, -79.11920, 
43.79635, -79.11920, 
43.79631, -79.11920, 
43.79626, -79.11920, 
43.79620, -79.11920, 
43.79617, -79.11920, 
43.79612, -79.11919, 
43.79608, -79.11918, 
43.79604, -79.11916, 
43.79599, -79.11916, 
43.79598, -79.11916, 
43.79594, -79.11916, 
43.79583, -79.11917, 
43.79580, -79.11918, 
43.79575, -79.11920, 
43.79571, -79.11921, 
43.79567, -79.11922, 
43.79563, -79.11925, 
43.79559, -79.11925, 
43.79557, -79.11925, 
43.79553, -79.11924, 
43.79548, -79.11923, 
43.79544, -79.11922, 
43.79539, -79.11921, 
43.79538, -79.11921, 
43.79531, -79.11921, 
43.79516, -79.11921, 
43.79513, -79.11921, 
43.79508, -79.11921, 
43.79505, -79.11921, 
43.79501, -79.11919, 
43.79497, -79.11917, 
43.79494, -79.11913, 
43.79491, -79.11909, 
43.79489, -79.11904, 
43.79489, -79.11900, 
43.79488, -79.11895, 
43.79486, -79.11890, 
43.79485, -79.11885, 
43.79484, -79.11881, 
43.79483, -79.11876, 
43.79482, -79.11873, 
43.79480, -79.11867, 
43.79480, -79.11866, 
43.79473, -79.11853, 
43.79471, -79.11848, 
43.79470, -79.11844, 
43.79468, -79.11836, 
43.79466, -79.11830, 
43.79465, -79.11824, 
43.79464, -79.11820, 
43.79461, -79.11815, 
43.79459, -79.11811, 
43.79458, -79.11806, 
43.79457, -79.11801, 
43.79456, -79.11795, 
43.79455, -79.11790, 
43.79455, -79.11786, 
43.79455, -79.11779, 
43.79455, -79.11775, 
43.79455, -79.11770, 
43.79454, -79.11764, 
43.79454, -79.11759, 
43.79455, -79.11755, 
43.79456, -79.11749, 
43.79457, -79.11743, 
43.79459, -79.11738, 
43.79461, -79.11734, 
43.79462, -79.11728, 
43.79464, -79.11725, 
